lambda_phys,capacity_name,parameter_count,dataset_size,n_runs,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr
-1.0,large,67074,64,9,0.00486369935485224,0.0013949714182329488,0.0004649904727443163
-1.0,large,67074,128,9,0.002798685519438651,0.0003335492651675026,0.00011118308838916752
0.0,large,67074,128,9,0.002798685519438651,0.0003335492651675026,0.00011118308838916752
0.0001,large,67074,128,9,0.002742702244884438,0.0002602501629413633,8.675005431378777e-05
0.001,large,67074,128,9,0.002768247258952922,0.0002551637977269872,8.505459924232907e-05
0.01,large,67074,128,9,0.003539729682314727,0.00032269033249444445,0.00010756344416481482
0.1,large,67074,128,9,0.017554863252573542,0.0008955909591685673,0.00029853031972285575
1.0,large,67074,128,9,0.05983407505684429,0.008146256396421787,0.0027154187988072623
-1.0,large,67074,256,9,0.00171901883246998,0.00019207644555637615,6.402548185212538e-05
-1.0,large,67074,512,9,0.0010866704914304945,8.86481191289072e-05,2.9549373042969068e-05
-1.0,large,67074,1024,9,0.0008502603676687512,4.570943212021477e-05,1.5236477373404925e-05
0.0,large,67074,1024,9,0.0008502603676687512,4.570943212021477e-05,1.5236477373404925e-05
0.0001,large,67074,1024,9,0.0008445030737978717,3.743650964530314e-05,1.2478836548434379e-05
0.001,large,67074,1024,9,0.000873683906522476,7.629296270044098e-05,2.543098756681366e-05
0.01,large,67074,1024,9,0.0018693747050646278,0.0001293549698025156,4.3118323267505195e-05
0.1,large,67074,1024,9,0.015690510264701314,0.0003243736111637704,0.00010812453705459013
1.0,large,67074,1024,9,0.06300332190261947,0.0065888681508706574,0.0021962893836235523
-1.0,large,67074,2048,9,0.0008524710105525123,7.71044236813304e-05,2.5701474560443466e-05
-1.0,large,67074,4096,9,0.0007815416708278159,7.281273964767467e-05,2.4270913215891558e-05
0.0,large,67074,4096,9,0.0007815416708278159,7.281273964767467e-05,2.4270913215891558e-05
0.0001,large,67074,4096,9,0.0007859812208658291,9.490402363081853e-05,3.1634674543606175e-05
0.001,large,67074,4096,9,0.000778393134371274,8.914138334972148e-05,2.971379444990716e-05
0.01,large,67074,4096,9,0.0014956462610926894,0.0002136203588936434,7.120678629788113e-05
0.1,large,67074,4096,9,0.0141581730503175,0.0011868838665911904,0.0003956279555303968
1.0,large,67074,4096,9,0.06866050097677442,0.002491244858847883,0.0008304149529492944
-1.0,large,67074,8192,9,0.0007567159740978645,4.062731113647084e-05,1.354243704549028e-05
-1.0,medium,17154,64,9,0.006969401198956702,0.0021427715543095383,0.0007142571847698461
-1.0,medium,17154,128,9,0.0043959411171575384,0.0008860813707200706,0.0002953604569066902
-1.0,medium,17154,256,9,0.002752561406749818,0.0003767610660331736,0.00012558702201105785
-1.0,medium,17154,512,9,0.0016091186811940537,0.00016516708072398416,5.505569357466139e-05
-1.0,medium,17154,1024,9,0.001101879913929022,0.00011191628415111222,3.730542805037074e-05
-1.0,medium,17154,2048,9,0.0009941826057102946,0.00010131502896574415,3.377167632191472e-05
-1.0,medium,17154,4096,9,0.0008915295087111493,9.215904257376715e-05,3.0719680857922384e-05
-1.0,medium,17154,8192,9,0.0007999433437362313,0.00016466475179307725,5.488825059769242e-05
-1.0,small,4482,64,9,0.010265492678930363,0.0015998240281164128,0.0005332746760388043
-1.0,small,4482,128,9,0.006696256084574593,0.0009479668642982078,0.0003159889547660693
0.0,small,4482,128,9,0.006696256084574593,0.0009479668642982078,0.0003159889547660693
0.0001,small,4482,128,9,0.007038893902467357,0.0008260695031584375,0.0002753565010528125
0.001,small,4482,128,9,0.00681520320682062,0.001018744896103307,0.0003395816320344357
0.01,small,4482,128,9,0.007565622010992633,0.0009704243519825012,0.0003234747839941671
0.1,small,4482,128,9,0.019378873623079725,0.0009031456305457038,0.0003010485435152346
1.0,small,4482,128,9,0.07479274686839846,0.0022736135320135407,0.0007578711773378469
-1.0,small,4482,256,9,0.0049260554110838305,0.00047799195420817616,0.0001593306514027254
-1.0,small,4482,512,9,0.00301780486996803,0.00022318686061596863,7.439562020532287e-05
-1.0,small,4482,1024,9,0.0020942670914034047,0.00016307071694519543,5.435690564839848e-05
0.0,small,4482,1024,9,0.0020942670914034047,0.00016307071694519543,5.435690564839848e-05
0.0001,small,4482,1024,9,0.0021111690051232776,0.0001556449373640131,5.1881645788004364e-05
0.001,small,4482,1024,9,0.002119414611823029,0.0002326524168601479,7.75508056200493e-05
0.01,small,4482,1024,9,0.0028386848668257394,0.00022754704776903304,7.584901592301101e-05
0.1,small,4482,1024,9,0.016493941760725446,0.00045133887125108085,0.00015044629041702695
1.0,small,4482,1024,9,0.07111810230546528,0.001345638722541908,0.00044854624084730263
-1.0,small,4482,2048,9,0.0015176611745523082,0.00013821378576690834,4.607126192230278e-05
-1.0,small,4482,4096,9,0.0012588370850102769,8.104914323560411e-05,2.7016381078534705e-05
0.0,small,4482,4096,9,0.0012588370850102769,8.104914323560411e-05,2.7016381078534705e-05
0.0001,small,4482,4096,9,0.0012296218321555192,7.65869790030923e-05,2.5528993001030768e-05
0.001,small,4482,4096,9,0.0012326963349348968,0.00010045873503407262,3.348624501135754e-05
0.01,small,4482,4096,9,0.0019822055991325113,0.0002897154520950946,9.657181736503154e-05
0.1,small,4482,4096,9,0.0158226504507992,0.0006146658594668143,0.0002048886198222714
1.0,small,4482,4096,9,0.07060142275359896,0.001482992195005997,0.0004943307316686657
-1.0,small,4482,8192,9,0.001035983641890602,9.203282091650945e-05,3.0677606972169816e-05
-1.0,tiny,1218,64,9,0.016383173772030406,0.0017408347673178333,0.0005802782557726111
-1.0,tiny,1218,128,9,0.014626343734562397,0.0011286938181653298,0.0003762312727217766
-1.0,tiny,1218,256,9,0.008922944931934277,0.0011984039255862988,0.00039946797519543295
-1.0,tiny,1218,512,9,0.005478917310635249,0.0005854663224270164,0.00019515544080900545
-1.0,tiny,1218,1024,9,0.003852505081643661,0.0003049588472160018,0.0001016529490720006
-1.0,tiny,1218,2048,9,0.00261977082118392,0.0002171718350030114,7.239061166767047e-05
-1.0,tiny,1218,4096,9,0.0021142799847034943,0.00016826483584670077,5.6088278615566926e-05
-1.0,tiny,1218,8192,9,0.0017449691529489225,0.00020797833935206735,6.932611311735578e-05
-1.0,xlarge,132866,64,9,0.004482239588267273,0.0013008314029244073,0.0004336104676414691
-1.0,xlarge,132866,128,9,0.0023041118272683686,0.00024919638682306016,8.306546227435339e-05
-1.0,xlarge,132866,256,9,0.0017057487016750707,0.00017863620013686094,5.9545400045620314e-05
-1.0,xlarge,132866,512,9,0.0012259053118113014,0.0001374156741624918,4.58052247208306e-05
-1.0,xlarge,132866,1024,9,0.0009982407338813776,0.00015788110615399606,5.2627035384665354e-05
-1.0,xlarge,132866,2048,9,0.0008890723046432766,0.00011846387075227719,3.948795691742573e-05
-1.0,xlarge,132866,4096,9,0.0007878272832992176,0.0001346912943649497,4.48970981216499e-05
-1.0,xlarge,132866,8192,9,0.0007040452263835403,0.00010497816537930622,3.4992721793102074e-05
